Material,T,Terr
hand,4.21,2.24
2 hands,16.04,1.2
blackbody,2.27,1.13
blue foam,-247.25,0.98
cellphone,-247.13,0.92
acrylic,-201.05,1.02
noise and load,538.16,1.73
load,22.79,1.14
noise,242.22,1.69
