Material,T16,T16err,T17,T17err,T18,T18err,T19,T19err
hand,4.21,2.24,23.17,2.33,20.89,9.04,20.47,3.81
2 hands,16.04,1.2,23.96,2.33,25.5,7.77,20.55,3.86
blackbody,2.27,1.13,5.79,2.3,9.38,7.68,8.09,3.78
blue foam,-247.25,0.98,-239.87,1.93,-236.31,6.88,-244.39,3.42
cellphone,-247.13,0.92,-195.38,4.54,-199.88,7.05,-214.86,3.53
acrylic,-201.05,1.02,-209.08,1.95,-212.85,6.95,-215.9,3.46
noise,242.22,1.69,268.32,3.4,289.26,11.03,269.34,5.42
