Material,T16,T16err,T17,T17err,T18,T18err,T19,T19err
hand,4.21,1.97,23.17,0.59,20.89,4.78,20.47,0.88
2 hands,16.04,0.53,23.96,0.56,25.5,1.12,20.55,1.09
blackbody,2.27,0.38,5.79,0.57,9.38,0.86,8.09,0.86
blue foam,-247.25,0.46,-239.87,0.57,-236.31,0.75,-244.39,0.81
cellphone,-247.13,0.32,-195.38,4.12,-199.88,1.17,-214.86,1.09
acrylic,-201.05,0.48,-209.08,0.5,-212.85,0.75,-215.9,0.83
noise,538.16,0.54,567.11,0.73,588.33,1.0,571.62,0.96
load,22.79,0.36,25.63,0.53,25.92,0.78,29.14,0.89
