date,time,TLoad,TAmp,TPlate,T4,VDetector,Elevation,V3,V4,Sky,Hot,Amp,Noise,LOMHz
21.09.2020,14:45:57.098653,22.338,25.612898,22.598937,-274.15,2.208369,11.159533,2.524825,0.83791,0,1,1,0,18485
21.09.2020,14:45:57.611972,22.341,25.612494,22.598949,-274.15,2.208662,11.15535,2.52513,0.837624,0,1,1,0,18485
21.09.2020,14:45:58.105953,22.34,25.617472,22.598355,-274.15,2.209264,11.15592,2.525195,0.834171,0,1,1,0,18485
21.09.2020,14:45:58.597951,22.34,25.618878,22.601573,-274.15,2.209769,11.153932,2.525289,0.832226,0,1,1,0,18485
21.09.2020,14:45:59.112532,22.343,25.627273,22.607307,-274.15,2.209191,11.159862,2.525187,0.83322,0,1,1,0,18485
21.09.2020,14:45:59.597572,22.343,25.627586,22.606335,-274.15,2.208637,11.160795,2.525261,0.832663,0,1,1,0,18485
21.09.2020,14:46:00.098398,22.342,25.633775,22.609674,-274.15,2.209274,11.16019,2.525375,0.835464,0,1,1,0,18485
21.09.2020,14:46:00.612547,22.34,25.635018,22.611676,-274.15,2.210076,11.150803,2.52529,0.833712,0,1,1,0,18485
21.09.2020,14:46:01.098501,22.341,25.639138,22.612247,-274.15,2.208533,11.157182,2.52529,0.838811,0,1,1,0,18485
21.09.2020,14:46:01.612545,22.34,25.640791,22.61324,-274.15,2.207596,11.161176,2.52526,0.832095,0,1,1,0,18485
21.09.2020,14:46:02.106546,22.337,25.643944,22.613008,-274.15,2.208369,11.160812,2.525392,0.835875,0,1,1,0,18485
21.09.2020,14:46:02.598381,22.338,25.646941,22.616984,-274.15,2.208189,11.162628,2.525497,0.833562,0,1,1,0,18485
21.09.2020,14:46:03.110933,22.337,25.652074,22.618575,-274.15,2.209138,11.156542,2.525485,0.833882,0,1,1,0,18485
21.09.2020,14:46:03.599148,22.333,25.651197,22.616301,-274.15,2.208062,11.156439,2.525594,0.832819,0,1,1,0,18485
21.09.2020,14:46:04.112343,22.339,25.658773,22.619026,-274.15,2.209539,11.159568,2.525234,0.833255,0,1,1,0,18485
21.09.2020,14:46:04.599159,22.334,25.659964,22.622876,-274.15,2.209911,11.156058,2.52542,0.831169,0,1,1,0,18485
21.09.2020,14:46:05.097311,22.336,25.661313,22.623443,-274.15,2.209597,11.155851,2.525398,0.835598,0,1,1,0,18485
21.09.2020,14:46:05.611237,22.335,25.667149,22.6242,-274.15,2.20911,11.155626,2.525102,0.838137,0,1,1,0,18485
