Material,T,Terr
hand,20.89,9.04
2 hands,25.5,7.77
blackbody,9.38,7.68
blue foam,-236.31,6.88
cellphone,-199.88,7.05
acrylic,-212.85,6.95
noise and load,588.33,9.88
load,25.92,7.73
noise,289.26,8.74
