Material,T16,T16err,T17,T17err,T18,T18err,T19,T19err
noise and load,538.16,1.73,567.11,3.47,588.33,9.88,571.62,4.74
load,22.79,1.14,25.63,2.32,25.92,7.73,29.14,3.82
noise,242.22,1.69,268.32,3.4,289.26,11.03,269.34,5.42
