Material,T,Terr
hand,23.17,2.33
2 hands,23.96,2.33
blackbody,5.79,2.3
blue foam,-239.87,1.93
cellphone,-195.38,4.54
acrylic,-209.08,1.95
noise and load,567.11,3.47
load,25.63,2.32
noise,268.32,3.4
