Parameter,Lufttemperatur 2 m,Bodentemperatur 20 cm,Bodentemperatur 35 cm,Bodentemperatur 60 cm
2019-09-09 00:00,11.4,15.8,16.4,17.2
2019-09-10 00:00,13.1,16.0,16.4,16.9
2019-09-11 00:00,14.0,16.1,16.4,16.7
2019-09-12 00:00,15.8,16.6,16.6,16.7
2019-09-13 00:00,17.0,17.0,16.8,16.8
2019-09-14 00:00,16.8,17.3,17.1,16.9
2019-09-15 00:00,18.6,17.8,17.4,17.0
2019-09-16 00:00,19.4,18.4,17.8,17.2
2019-09-17 00:00,18.7,18.6,18.1,17.4
2019-09-18 00:00,14.2,17.9,18.0,17.5
2019-09-19 00:00,11.9,16.5,17.1,17.3
2019-09-20 00:00,11.4,15.6,16.3,16.8
2019-09-21 00:00,13.5,15.5,15.9,16.5
2019-09-22 00:00,17.4,16.5,16.3,16.3
2019-09-23 00:00,14.3,17.0,16.8,16.5
2019-09-24 00:00,11.6,16.1,16.5,16.5
2019-09-25 00:00,14.6,16.1,16.2,16.3
2019-09-26 00:00,15.2,16.1,16.2,16.3
2019-09-27 00:00,17.7,16.7,16.4,16.3
2019-09-28 00:00,14.9,16.8,16.7,16.4
2019-09-29 00:00,15.7,16.2,16.4,16.4
2019-09-30 00:00,16.8,16.4,16.3,16.3
2019-10-01 00:00,13.9,15.8,16.1,16.2
2019-10-02 00:00,12.6,16.0,16.1,16.1
2019-10-03 00:00,8.4,14.7,15.5,15.9
2019-10-04 00:00,9.0,13.8,14.7,15.5
2019-10-05 00:00,12.3,13.8,14.3,15.1
2019-10-06 00:00,12.3,14.3,14.6,15.0
2019-10-07 00:00,10.3,14.2,14.5,14.9
2019-10-08 00:00,11.7,13.8,14.3,14.8
2019-10-09 00:00,11.9,14.1,14.4,14.7
2019-10-10 00:00,10.7,13.3,14.0,14.6
2019-10-11 00:00,9.0,12.6,13.4,14.3
2019-10-12 00:00,11.3,12.4,13.1,14.0
2019-10-13 00:00,13.7,12.9,13.2,13.8
2019-10-14 00:00,13.6,13.3,13.5,13.8
2019-10-15 00:00,10.8,13.3,13.6,13.9
2019-10-16 00:00,9.4,12.7,13.2,13.8
2019-10-17 00:00,11.3,12.5,13.0,13.6
2019-10-18 00:00,12.5,13.1,13.2,13.5
2019-10-19 00:00,12.3,13.4,13.5,13.6
2019-10-20 00:00,11.6,13.6,13.6,13.7
2019-10-21 00:00,12.7,13.6,13.7,13.8
2019-10-22 00:00,12.1,13.6,13.7,13.8
2019-10-23 00:00,12.1,13.7,13.8,13.8
2019-10-24 00:00,12.4,13.6,13.7,13.9
2019-10-25 00:00,11.1,13.4,13.6,13.8
2019-10-26 00:00,10.0,12.6,13.2,13.7
2019-10-27 00:00,11.2,12.3,12.9,13.4
2019-10-28 00:00,11.8,12.9,13.0,13.3
2019-10-29 00:00,8.2,12.6,13.0,13.3
2019-10-30 00:00,6.8,11.7,12.5,13.2
2019-10-31 00:00,7.5,11.4,12.1,12.9
2019-11-01 00:00,10.4,11.6,12.0,12.7
2019-11-02 00:00,12.5,12.0,12.2,12.6
2019-11-03 00:00,9.3,12.0,12.3,12.7
2019-11-04 00:00,10.0,11.4,12.0,12.6
2019-11-05 00:00,8.1,11.1,11.7,12.4
2019-11-06 00:00,6.4,10.6,11.4,12.2
2019-11-07 00:00,4.4,9.8,10.8,11.9
2019-11-08 00:00,3.8,9.4,10.3,11.6
2019-11-09 00:00,3.3,9.0,10.0,11.2
2019-11-10 00:00,1.4,8.2,9.5,10.9
2019-11-11 00:00,1.8,7.9,9.0,10.5
2019-11-12 00:00,3.3,7.6,8.7,10.2
2019-11-13 00:00,2.2,7.0,8.3,9.9
2019-11-14 00:00,0.7,6.3,7.8,9.5
2019-11-15 00:00,2.3,6.3,7.5,9.2
2019-11-16 00:00,1.8,6.2,7.3,8.9
2019-11-17 00:00,1.5,5.9,7.1,8.7
2019-11-18 00:00,3.0,6.0,7.0,8.5
2019-11-19 00:00,1.3,5.5,6.7,8.3
2019-11-20 00:00,2.6,5.7,6.6,8.1
2019-11-21 00:00,2.3,5.7,6.6,8.0
2019-11-22 00:00,3.4,6.0,6.7,7.9
2019-11-23 00:00,3.4,6.0,6.7,7.9
2019-11-24 00:00,4.2,5.8,6.6,7.9
2019-11-25 00:00,5.3,6.1,6.7,7.8
2019-11-26 00:00,5.2,6.5,7.0,7.9
2019-11-27 00:00,7.4,6.6,7.1,8.0
2019-11-28 00:00,7.7,7.1,7.4,8.1
2019-11-29 00:00,6.5,7.1,7.5,8.1
2019-11-30 00:00,3.9,6.9,7.4,8.1
2019-12-01 00:00,2.5,6.2,7.0,8.1
2019-12-02 00:00,2.2,6.0,6.8,7.9
2019-12-03 00:00,-0.5,4.9,6.2,7.6
2019-12-04 00:00,0.0,4.3,5.5,7.2
2019-12-05 00:00,-0.6,4.4,5.3,6.9
2019-12-06 00:00,0.4,4.3,5.3,6.7
2019-12-07 00:00,8.0,4.9,5.4,6.6
2019-12-08 00:00,5.7,5.2,5.7,6.7
2019-12-09 00:00,5.5,5.5,5.9,6.8
2019-12-10 00:00,1.4,5.1,5.9,6.8
2019-12-11 00:00,0.0,3.9,5.1,6.6
2019-12-12 00:00,1.4,3.8,4.7,6.2
2019-12-13 00:00,2.0,3.3,4.5,6.0
2019-12-14 00:00,7.2,3.8,4.4,5.7
2019-12-15 00:00,8.9,5.0,5.1,5.8
2019-12-16 00:00,4.2,5.0,5.5,6.1
2019-12-17 00:00,4.1,4.8,5.3,6.2
2019-12-18 00:00,5.5,4.9,5.4,6.2
2019-12-19 00:00,3.3,4.6,5.3,6.2
2019-12-20 00:00,3.6,4.3,5.0,6.1
2019-12-21 00:00,4.8,4.9,5.2,6.0
2019-12-22 00:00,5.1,4.9,5.4,6.1
2019-12-23 00:00,4.9,5.0,5.4,6.1
2019-12-24 00:00,5.4,4.8,5.4,6.1
2019-12-25 00:00,5.9,5.1,5.5,6.1
2019-12-26 00:00,1.4,4.4,5.2,6.1
2019-12-27 00:00,5.6,4.8,5.2,6.0
2019-12-28 00:00,3.1,5.0,5.4,6.0
2019-12-29 00:00,-0.9,4.0,5.0,6.0
2019-12-30 00:00,-1.7,3.1,4.3,5.7
2019-12-31 00:00,-1.3,3.1,4.0,5.4
2020-01-01 00:00,-2.3,3.0,3.9,5.2
2020-01-02 00:00,-1.8,2.8,3.7,5.0
2020-01-03 00:00,1.7,3.0,3.7,4.9
2020-01-04 00:00,3.8,3.7,4.0,4.9
2020-01-05 00:00,0.4,3.2,4.0,5.0
2020-01-06 00:00,-1.0,2.4,3.5,4.9
2020-01-07 00:00,0.8,2.2,3.1,4.6
2020-01-08 00:00,0.6,2.3,3.1,4.4
2020-01-09 00:00,2.3,2.4,3.2,4.4
2020-01-10 00:00,5.9,2.9,3.3,4.4
2020-01-11 00:00,2.5,3.4,3.8,4.6
2020-01-12 00:00,0.4,2.6,3.5,4.6
2020-01-13 00:00,-0.1,2.2,3.1,4.4
2020-01-14 00:00,1.1,1.8,2.8,4.2
2020-01-15 00:00,2.4,1.7,2.5,4.0
2020-01-16 00:00,3.2,2.0,2.6,3.9
2020-01-17 00:00,1.6,1.9,2.7,3.9
2020-01-18 00:00,2.4,2.4,2.8,3.8
2020-01-19 00:00,-0.6,1.9,2.7,3.9
2020-01-20 00:00,-0.1,1.4,2.3,3.7
2020-01-21 00:00,-2.3,1.2,2.1,3.5
2020-01-22 00:00,-1.3,1.0,1.9,3.4
2020-01-23 00:00,-2.6,1.0,1.8,3.2
2020-01-24 00:00,-1.3,1.0,1.8,3.2
2020-01-25 00:00,-0.3,1.0,1.8,3.1
2020-01-26 00:00,0.6,1.3,1.8,3.0
2020-01-27 00:00,3.6,2.0,2.2,3.1
2020-01-28 00:00,4.4,2.7,2.8,3.4
2020-01-29 00:00,3.7,2.7,3.0,3.6
2020-01-30 00:00,3.9,2.9,3.1,3.7
2020-01-31 00:00,8.3,4.1,3.7,3.9
2020-02-01 00:00,8.7,4.9,4.5,4.4
2020-02-02 00:00,10.5,5.7,5.1,4.8
2020-02-03 00:00,13.2,6.9,6.0,5.3
2020-02-04 00:00,4.8,6.5,6.4,5.9
2020-02-05 00:00,2.1,5.1,5.6,5.9
2020-02-06 00:00,-0.5,3.9,4.7,5.6
2020-02-07 00:00,-0.2,3.1,4.0,5.1
2020-02-08 00:00,0.8,2.6,3.5,4.7
2020-02-09 00:00,4.5,2.7,3.3,4.4
2020-02-10 00:00,10.6,4.4,4.0,4.4
2020-02-11 00:00,6.1,5.1,4.9,4.9
2020-02-12 00:00,4.0,4.5,4.8,5.1
2020-02-13 00:00,2.6,3.7,4.3,5.0
2020-02-14 00:00,5.1,4.3,4.3,4.8
2020-02-15 00:00,4.1,4.2,4.4,4.9
2020-02-16 00:00,6.8,4.5,4.5,5.0
2020-02-17 00:00,7.5,5.0,4.9,5.1
2020-02-18 00:00,4.4,5.0,5.1,5.3
2020-02-19 00:00,3.7,4.5,4.9,5.3
2020-02-20 00:00,5.7,4.6,4.8,5.2
2020-02-21 00:00,5.5,5.3,5.1,5.3
2020-02-22 00:00,5.5,5.0,5.1,5.4
2020-02-23 00:00,12.1,5.8,5.5,5.5
2020-02-24 00:00,12.9,6.9,6.2,5.8
2020-02-25 00:00,7.5,6.7,6.6,6.2
2020-02-26 00:00,1.5,5.6,6.1,6.3
2020-02-27 00:00,1.2,4.5,5.2,6.0
2020-02-28 00:00,3.1,4.0,4.6,5.6
2020-02-29 00:00,7.0,4.8,4.8,5.4
2020-03-01 00:00,7.1,5.9,5.5,5.5
2020-03-02 00:00,3.6,5.6,5.7,5.8
2020-03-03 00:00,3.5,5.4,5.5,5.8
2020-03-04 00:00,4.5,5.4,5.5,5.8
2020-03-05 00:00,5.2,5.7,5.7,5.9
2020-03-06 00:00,5.3,5.7,5.8,6.0
2020-03-07 00:00,3.3,5.5,5.7,6.0
2020-03-08 00:00,3.1,5.0,5.4,5.9
2020-03-09 00:00,5.3,5.8,5.6,5.9
2020-03-10 00:00,4.2,5.6,5.8,6.0
2020-03-11 00:00,9.8,6.3,5.9,6.0
2020-03-12 00:00,10.9,7.0,6.5,6.3
2020-03-13 00:00,7.1,7.7,7.1,6.6
2020-03-14 00:00,4.5,7.1,7.0,6.9
2020-03-15 00:00,5.3,6.9,6.8,6.9
2020-03-16 00:00,7.9,7.2,6.9,6.9
2020-03-17 00:00,9.1,7.7,7.2,7.0
2020-03-18 00:00,9.8,8.1,7.6,7.2
2020-03-19 00:00,10.5,8.5,7.9,7.5
2020-03-20 00:00,9.7,8.8,8.3,7.7
2020-03-21 00:00,6.8,8.6,8.3,7.9
2020-03-22 00:00,3.3,7.9,8.1,7.9
2020-03-23 00:00,1.7,6.5,7.2,7.7
2020-03-24 00:00,1.4,5.7,6.5,7.2
2020-03-25 00:00,1.7,5.4,6.0,6.9
2020-03-26 00:00,1.7,5.2,5.8,6.6
2020-03-27 00:00,4.0,5.4,5.7,6.4
2020-03-28 00:00,8.2,6.3,6.1,6.4
2020-03-29 00:00,5.4,7.0,6.8,6.7
2020-03-30 00:00,1.0,6.0,6.6,6.9
2020-03-31 00:00,2.1,5.1,5.8,6.6
2020-04-01 00:00,3.1,5.3,5.6,6.3
2020-04-02 00:00,5.5,6.0,5.9,6.3
